"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\Menu-Structor.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 28
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\angular.json", "JSON", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 126
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\karma.conf.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 2, 45
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\package-lock.json", "JSON", 22951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22952
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\account\role.model.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\account\translate.model.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\account\user.model.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\auth\login-model.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\auth\token-model.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\base.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\booking-capacity.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\booking-create-excel.model.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\booking-create.model.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\booking-header.model.ts", "TypeScript", 0, 0, 0, 240, 0, 0, 0, 0, 0, 1, 19, 260
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\booking-truck-log.model.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\check-in-out.model.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\po.model.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\booking\pre-check-in-excel.model.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\dashboard\summary-booking.model.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
